CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	6	502	1.18	508
2	7	1577	0.44	1584
3	28	1404	1.96	1432
4	23	1870	1.22	1893
5	42	1218	3.33	1260
6	32	1919	1.64	1951
7	56	2646	2.07	2702
8	26	1881	1.36	1907
9	36	1820	1.94	1856
10	25	1775	1.39	1800
11	27	1583	1.68	1610
12	27	1533	1.73	1560
13	46	2320	1.94	2366
14	36	2122	1.67	2158
15	23	1831	1.24	1854
16	48	1479	3.14	1527
17	32	1690	1.86	1722
18	33	1470	2.20	1503
19	26	1317	1.94	1343
20	27	1695	1.57	1722
21	34	1718	1.94	1752
22	30	1468	2.00	1498
23	23	1401	1.62	1424
24	35	1656	2.07	1691
25	36	1788	1.97	1824
26	34	1407	2.36	1441
27	28	1632	1.69	1660
28	32	1375	2.27	1407
29	17	1569	1.07	1586
30	34	1525	2.18	1559
31	38	1667	2.23	1705
32	49	1763	2.70	1812
33	34	1579	2.11	1613
34	23	1227	1.84	1250
35	24	1376	1.71	1400
36	24	1196	1.97	1220
37	26	950	2.66	976
38	27	1259	2.10	1286
39	22	1219	1.77	1241
40	17	1034	1.62	1051
41	22	1121	1.92	1143
42	26	1074	2.36	1100
43	12	1428	0.83	1440
44	17	704	2.36	721
45	14	1004	1.38	1018
46	23	727	3.07	750
47	17	779	2.14	796
48	17	633	2.62	650
49	16	706	2.22	722
50	10	781	1.26	791

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	4	1125	0.35	1129
2	21	1293	1.60	1314
3	24	1972	1.20	1996
4	37	2157	1.69	2194
5	45	2005	2.20	2050
6	55	2642	2.04	2697
7	49	2402	2.00	2451
8	29	1742	1.64	1771
9	52	2798	1.82	2850
10	44	2369	1.82	2413
11	28	1745	1.58	1773
12	47	2867	1.61	2914
13	49	2482	1.94	2531
14	54	2339	2.26	2393
15	43	2537	1.67	2580
16	50	2244	2.18	2294
17	59	2601	2.22	2660
18	61	2547	2.34	2608
19	48	2828	1.67	2876
20	54	2134	2.47	2188
21	54	2374	2.22	2428
22	46	2427	1.86	2473
23	49	2354	2.04	2403
24	55	2223	2.41	2278
25	57	2165	2.57	2222
26	45	2813	1.57	2858
27	38	1775	2.10	1813
28	44	2422	1.78	2466
29	45	2178	2.02	2223
30	42	2017	2.04	2059
31	63	2568	2.39	2631
32	43	2102	2.00	2145
33	24	1899	1.25	1923
34	48	1951	2.40	1999
35	39	1493	2.55	1532
36	58	2741	2.07	2799
37	30	1658	1.78	1688
38	40	1569	2.49	1609
39	47	2366	1.95	2413
40	33	1774	1.83	1807
41	35	1557	2.20	1592
42	43	1990	2.12	2033
43	50	2023	2.41	2073
44	23	1445	1.57	1468
45	23	1199	1.88	1222
46	36	1552	2.27	1588
47	13	1057	1.21	1070
48	25	914	2.66	939
49	19	1181	1.58	1200
50	26	1119	2.27	1145

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	5	1387	0.36	1392
2	32	2668	1.19	2700
3	53	2898	1.80	2951
4	41	2371	1.70	2412
5	64	3095	2.03	3159
6	44	3164	1.37	3208
7	41	2723	1.48	2764
8	58	3108	1.83	3166
9	69	3994	1.70	4063
10	42	2602	1.59	2644
11	62	4024	1.52	4086
12	53	3412	1.53	3465
13	57	2884	1.94	2941
14	56	3171	1.74	3227
15	61	2967	2.01	3028
16	47	3167	1.46	3214
17	56	2541	2.16	2597
18	80	3278	2.38	3358
19	55	2531	2.13	2586
20	68	2703	2.45	2771
21	74	3338	2.17	3412
22	42	2854	1.45	2896
23	74	2812	2.56	2886
24	67	3161	2.08	3228
25	42	2375	1.74	2417
26	56	2791	1.97	2847
27	66	3017	2.14	3083
28	44	2518	1.72	2562
29	44	3033	1.43	3077
30	50	3286	1.50	3336
31	44	2461	1.76	2505
32	48	2843	1.66	2891
33	49	2616	1.84	2665
34	33	2105	1.54	2138
35	53	2771	1.88	2824
36	53	2729	1.91	2782
37	37	2353	1.55	2390
38	53	2459	2.11	2512
39	46	2551	1.77	2597
40	37	2027	1.79	2064
41	41	2131	1.89	2172
42	46	2337	1.93	2383
43	40	2131	1.84	2171
44	36	1899	1.86	1935
45	32	2035	1.55	2067
46	21	1504	1.38	1525
47	31	1631	1.87	1662
48	28	2034	1.36	2062
49	24	1874	1.26	1898
50	25	1385	1.77	1410

